Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	RevisedDeletion_essentiality	DR	DL	Cluster
SPAC1002.01	mrx11	viable	V	V			
SPAC1002.02	pom34	viable	V	V	-0.007	0.0	9.0
SPAC1002.03c	gls2	viable	V	V	0.024	0.0	9.0
SPAC1002.04c	taf11	inviable	E	E	0.733	2.629	6.0
SPAC1002.05c	jmj2	viable	V	V	-0.009	0.0	9.0
SPAC1002.06c	bqt2	viable	V	V	-0.016	0.0	9.0
SPAC1002.07c	SPAC1002.07c	viable	V	V	0.037	0.0	9.0
SPAC1002.08c	mtf1	inviable	E	E	0.656	4.606	6.0
SPAC1002.09c	dld1	inviable	E	E	0.631	4.089	6.0
SPAC1002.10c	sgt1	inviable	E	E	1.031	0.383	1.0
SPAC1002.11	gaa1	inviable	E	E	0.801	0.765	3.0
SPAC1002.12c	ssd1	viable	V	V	0.004	0.0	9.0
SPAC1002.13c	psu1	inviable	E	E	0.95	3.001	4.0
SPAC1002.14	itt1	viable	V	V	-0.045	0.0	9.0
SPAC1002.15c	med6	viable	V	V	0.206	5.253	8.0
SPAC1002.16c	tna1	inviable	E	V	-0.003	0.0	9.0
SPAC1002.17c	urg2	viable	V	V	0.021	0.0	9.0
SPAC1002.18	urg3	viable	V	V	-0.005	0.0	9.0
SPAC1002.19	urg1	viable	V	V	0.014	0.0	9.0
SPAC1002.20	SPAC1002.20	viable	V	V	0.0	0.0	9.0
SPAC1006.01	psp3	viable	V	V	0.121	-0.0	9.0
SPAC1006.02	asa1	inviable	E	E			
SPAC1006.03c	red1	viable	V	V	0.068	3.348	9.0
SPAC1006.04c	mcp3	viable	V	V	-0.012	0.0	9.0
SPAC1006.05c	och1	viable	V	V	0.964	1.013	2.0
SPAC1006.06	rgf2	viable	V	V	-0.051	0.0	9.0
SPAC1006.07	tif1	inviable	E	E	0.921	-0.0	2.0
SPAC1006.08	etd1	condition-dependent	E	E	1.082	1.103	1.0
SPAC1006.09	win1	viable	V	V	0.027	0.0	9.0
SPAC1039.01	SPAC1039.01	viable	V	V	0.064	0.0	9.0
SPAC1039.02	efn2	viable	V	V	0.058	0.0	9.0
SPAC1039.03	SPAC1039.03	viable	V	V	0.026	-0.0	9.0
SPAC1039.04	SPAC1039.04	viable	V	V	-0.005	0.0	9.0
SPAC1039.05c	klf1	viable	V	V	0.047	-0.0	9.0
SPAC1039.06	SPAC1039.06	viable	V	V	-0.005	0.0	9.0
SPAC1039.07c	SPAC1039.07c	viable	V	V	0.06	-0.0	9.0
SPAC1039.08	SPAC1039.08	viable	V	V	-0.019	0.0	9.0
SPAC1039.09	isp5	viable	V	V	-0.039	-0.0	9.0
SPAC1039.10	mmf2	viable	V	V	0.057	0.0	9.0
SPAC1039.11c	gto1	viable	V	V	0.065	0.0	9.0
SPAC105.01c	kha1	viable	V	V	0.002	0.0	9.0
SPAC105.02c	ank1	viable	V	V			
SPAC105.03c	dal81	viable	V	V	0.0	0.0	9.0
SPAC1071.01c	pta1	inviable	E	E	0.77	0.317	3.0
SPAC1071.02	mms19	viable	V	V	0.373	0.888	7.0
SPAC1071.03c	sil1	viable	V	V	0.301	9.511	9.0
SPAC1071.04c	spc2	viable	V	V	0.126	5.887	9.0
SPAC1071.05	hpm1	viable	V	V	0.064	-0.0	9.0
SPAC1071.06	arp9	viable	V	V	0.05	0.0	9.0
SPAC1071.07c	rps1502	viable	V	V			
SPAC1071.08	rpp203	viable	V	V			
SPAC1071.09c	djc9	viable	V	V	0.058	0.879	9.0
SPAC1071.10c	pma1	inviable	E	E	1.075	0.144	1.0
SPAC1071.11	coq12	condition-dependent	V	V			
SPAC1071.12c	stp1	viable	V	V	-0.011	-0.0	9.0
SPAC1071.13	SPAC1071.13	unknown	Not_determined	Not_determined	0.001	0.0	9.0
SPAC1093.01	ppr5	viable	V	V	0.103	2.148	9.0
SPAC1093.02	pdx3	viable	V	V	0.086	-0.0	9.0
SPAC1093.03	fig4	viable	V	V	0.004	0.0	9.0
SPAC1093.04c	cca1	inviable	E	E	1.016	0.641	1.0
SPAC1093.05	hca4	inviable	E	E	0.966	0.074	2.0
SPAC1093.06c	dhc1	viable	V	V	0.121	4.005	9.0
SPAC1093.07	SPAC1093.07	unknown	Not_determined	Not_determined			
SPAC10F6.01c	sir1	viable	V	V	0.137	0.465	9.0
SPAC10F6.02c	prp22	inviable	E	E	1.028	0.651	1.0
SPAC10F6.03c	cts1	inviable	E	E	1.154	-0.0	1.0
SPAC10F6.04	ats1	viable	V	V	0.11	0.274	9.0
SPAC10F6.05c	ubc6	viable	V	V	0.018	-0.0	9.0
SPAC10F6.06	vip1	viable	V	V	0.088	-0.0	9.0
SPAC10F6.07c	mug94	viable	V	V			
SPAC10F6.08c	nht1	viable	V	V	0.135	5.75	9.0
SPAC10F6.09c	psm3	condition-dependent	E	E	0.821	1.093	2.0
SPAC10F6.10	rio1	inviable	E	E	1.089	0.483	1.0
SPAC10F6.11c	atg17	viable	V	V			
SPAC10F6.12c	mam4	viable	V	V	-0.016	0.0	9.0
SPAC10F6.13c	caa1	viable	V	V	0.528	1.365	5.0
SPAC10F6.14c	SPAC10F6.14c	viable	V	V	-0.009	0.0	9.0
SPAC10F6.15	SPAC10F6.15	viable	V	V	-0.02	-0.0	9.0
SPAC10F6.16	igo1	viable	V	V	0.078	-0.0	9.0
SPAC10F6.17c	ptc5	viable	V	V	0.04	0.0	9.0
SPAC110.01	ppk1	viable	V	V	-0.015	0.0	9.0
SPAC110.02	pds5	viable	V	V	0.022	0.0	9.0
SPAC110.03	cdc42	inviable	E	E	1.071	-0.0	1.0
SPAC110.04c	pss1	condition-dependent	E	E	0.985	0.251	2.0
SPAC110.06	SPAC110.06	viable	Not_determined	Not_determined	-0.024	-0.0	9.0
SPAC1142.01	rqc1	viable	V	V	0.076	-0.0	9.0
SPAC1142.02c	sgt2	viable	V	V	-0.001	0.0	9.0
SPAC1142.03c	swi2	viable	V	V	-0.047	0.0	9.0
SPAC1142.04	noc201	inviable	E	E	1.134	0.507	1.0
SPAC1142.05	ctr5	viable	V	V	0.376	2.685	8.0
SPAC1142.06	get3	viable	V	V	-0.003	0.0	9.0
SPAC1142.07c	vps32	viable	V	V	0.372	0.489	7.0
SPAC1142.08	fhl1	viable	V	V	0.307	0.788	7.0
SPAC1142.09	SPAC1142.09	unknown	Not_determined	Not_determined	0.056	-0.0	9.0
SPAC11D3.01c	SPAC11D3.01c	viable	V	V			
SPAC11D3.02c	SPAC11D3.02c	viable	V	V	-0.002	-0.0	9.0
SPAC11D3.03c	SPAC11D3.03c	viable	V	V	-0.001	0.0	9.0
SPAC11D3.04c	SPAC11D3.04c	viable	V	V	-0.012	0.0	9.0
SPAC11D3.05	mfs2	viable	V	V	0.002	0.0	9.0
SPAC11D3.06	SPAC11D3.06	viable	V	V	0.28	9.511	9.0
SPAC11D3.07c	toe4	viable	V	V	0.003	0.0	9.0
SPAC11D3.08c	SPAC11D3.08c	viable	V	V	0.026	-0.0	9.0
SPAC11D3.09	agm1	viable	V	V	0.035	0.0	9.0
