Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4
SPAC1002.02	pom34	viable	V	0.007	0.001	0.0	0.0	0.0
SPAC1002.03c	gls2	viable	V	0.017	0.058	0.135	0.198	0.231
SPAC1002.04c	taf11	inviable	E	0.056	0.47	2.186	4.686	6.5
SPAC1002.05c	jmj2	viable	V	0.007	0.001	0.0	0.0	0.0
SPAC1002.06c	bqt2	viable	V	-0.006	-0.038	-0.078	-0.093	-0.096
SPAC1002.07c	SPAC1002.07c	viable	V	-0.016	-0.0	-0.0	-0.0	-0.0
SPAC1002.08c	mtf1	inviable	E	0.0	0.02	0.762	2.921	4.452
SPAC1002.09c	dld1	inviable	E	0.0	0.058	1.009	3.126	4.581
SPAC1002.10c	sgt1	inviable	E	0.242	2.03	4.774	5.847	6.087
SPAC1002.11	gaa1	inviable	E	0.187	1.312	3.776	5.447	6.069
SPAC1002.12c	ssd1	viable	V	-0.004	-0.001	-0.0	-0.0	-0.0
SPAC1002.13c	psu1	inviable	E	0.0	0.147	2.455	4.789	5.467
SPAC1002.14	itt1	viable	V	0.046	0.011	0.0	0.0	0.0
SPAC1002.15c	med6	viable	V	0.0	0.006	0.175	0.792	1.413
SPAC1002.16c	tna1	inviable	E	-0.002	-0.008	-0.017	-0.022	-0.024
SPAC1002.17c	urg2	viable	V	-0.021	-0.005	-0.0	-0.0	-0.0
SPAC1002.18	urg3	viable	V	0.002	0.0	0.0	0.0	0.0
SPAC1002.19	urg1	viable	V	-0.007	-0.0	-0.0	-0.0	-0.0
SPAC1002.20	SPAC1002.20	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1006.01	psp3	viable	V	0.048	0.286	0.586	0.694	0.718
SPAC1006.03c	red1	viable	V	0.003	0.027	0.158	0.388	0.578
SPAC1006.04c	mcp3	viable	V	0.012	0.003	0.0	0.0	0.0
SPAC1006.05c	och1	viable	V	0.077	1.313	4.101	5.373	5.669
SPAC1006.06	rgf2	viable	V	-0.02	-0.119	-0.244	-0.289	-0.299
SPAC1006.07	tif1	inviable	E	0.363	2.166	4.441	5.265	5.446
SPAC1006.08	etd1	condition-dependent	E	0.072	1.385	4.539	6.015	6.36
SPAC1006.09	win1	viable	V	0.027	0.069	0.15	0.239	0.306
SPAC1039.01	SPAC1039.01	viable	V	-0.03	-0.001	-0.0	-0.0	-0.0
SPAC1039.02	efn2	viable	V	-0.026	-0.0	-0.0	-0.0	-0.0
SPAC1039.03	SPAC1039.03	viable	V	0.01	0.062	0.127	0.15	0.156
SPAC1039.04	SPAC1039.04	viable	V	-0.004	-0.012	-0.027	-0.042	-0.05
SPAC1039.05c	klf1	viable	V	-0.021	-0.0	-0.0	-0.0	-0.0
SPAC1039.06	SPAC1039.06	viable	V	-0.002	-0.011	-0.023	-0.027	-0.028
SPAC1039.07c	SPAC1039.07c	viable	V	-0.029	-0.001	-0.0	-0.0	-0.0
SPAC1039.08	SPAC1039.08	viable	V	0.018	0.003	0.0	0.0	0.0
SPAC1039.09	isp5	viable	V	-0.015	-0.091	-0.187	-0.222	-0.23
SPAC1039.10	mmf2	viable	V	-0.028	-0.001	-0.0	-0.0	-0.0
SPAC1039.11c	gto1	viable	V	-0.066	-0.016	-0.001	-0.0	-0.0
SPAC105.01c	kha1	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC105.03c	dal81	viable	V	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1071.01c	pta1	inviable	E	0.296	1.578	3.91	5.35	5.866
SPAC1071.02	mms19	viable	V	0.091	0.581	1.736	2.642	3.032
SPAC1071.03c	sil1	viable	V	0.0	0.0	0.0	0.068	0.891
SPAC1071.04c	spc2	viable	V	0.0	0.0	0.033	0.403	0.659
SPAC1071.05	hpm1	viable	V	0.025	0.152	0.311	0.369	0.381
SPAC1071.06	arp9	viable	V	0.041	0.123	0.28	0.431	0.522
SPAC1071.09c	djc9	viable	V	0.035	0.108	0.274	0.471	0.62
SPAC1071.10c	pma1	inviable	E	0.352	2.374	5.109	6.129	6.354
SPAC1071.12c	stp1	viable	V	-0.004	-0.026	-0.052	-0.062	-0.064
SPAC1071.13	SPAC1071.13	unknown	Not_determined	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1093.01	ppr5	viable	V	0.0	0.052	0.348	0.547	0.599
SPAC1093.02	pdx3	viable	V	0.034	0.202	0.415	0.492	0.509
SPAC1093.03	fig4	viable	V	0.004	0.01	0.022	0.036	0.046
SPAC1093.04c	cca1	inviable	E	0.159	1.742	4.556	5.724	5.989
SPAC1093.05	hca4	inviable	E	0.346	2.2	4.624	5.515	5.712
SPAC1093.06c	dhc1	viable	V	0.0	0.002	0.192	0.552	0.681
SPAC10F6.01c	sir1	viable	V	0.107	0.298	0.702	1.164	1.51
SPAC10F6.02c	prp22	inviable	E	0.158	1.752	4.603	5.789	6.058
SPAC10F6.03c	cts1	inviable	E	0.455	2.715	5.566	6.6	6.827
SPAC10F6.04	ats1	viable	V	0.097	0.258	0.587	0.958	1.236
SPAC10F6.05c	ubc6	viable	V	0.007	0.042	0.085	0.101	0.105
SPAC10F6.06	vip1	viable	V	0.035	0.208	0.427	0.506	0.523
SPAC10F6.08c	nht1	viable	V	0.0	0.0	0.067	0.452	0.842
SPAC10F6.09c	psm3	condition-dependent	E	0.097	1.09	3.591	5.176	5.692
SPAC10F6.10	rio1	inviable	E	0.221	2.036	4.99	6.18	6.449
SPAC10F6.12c	mam4	viable	V	0.016	0.004	0.0	0.0	0.0
SPAC10F6.13c	caa1	viable	V	0.136	0.698	2.229	3.907	4.938
SPAC10F6.14c	SPAC10F6.14c	viable	V	0.004	0.0	0.0	0.0	0.0
SPAC10F6.15	SPAC10F6.15	viable	V	-0.008	-0.047	-0.096	-0.113	-0.117
SPAC10F6.16	igo1	viable	V	-0.035	-0.001	-0.0	-0.0	-0.0
SPAC10F6.17c	ptc5	viable	V	-0.018	-0.0	-0.0	-0.0	-0.0
SPAC110.01	ppk1	viable	V	0.006	0.0	0.0	0.0	0.0
SPAC110.02	pds5	viable	V	0.023	0.057	0.124	0.199	0.254
SPAC110.03	cdc42	inviable	E	0.422	2.519	5.166	6.125	6.336
SPAC110.04c	pss1	condition-dependent	E	0.305	2.07	4.753	5.909	6.198
SPAC110.06	SPAC110.06	viable	Not_determined	-0.013	-0.057	-0.128	-0.17	-0.185
SPAC1142.01	rqc1	viable	V	0.03	0.18	0.369	0.437	0.452
SPAC1142.02c	sgt2	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC1142.03c	swi2	viable	V	0.048	0.012	0.0	0.0	0.0
SPAC1142.04	noc201	inviable	E	0.221	2.094	5.172	6.41	6.689
SPAC1142.05	ctr5	viable	V	0.039	0.26	1.109	2.399	3.424
SPAC1142.06	get3	viable	V	-0.003	-0.008	-0.017	-0.027	-0.033
SPAC1142.07c	vps32	viable	V	0.252	0.777	1.898	3.113	3.949
SPAC1142.08	fhl1	viable	V	0.057	0.49	1.417	1.968	2.144
SPAC1142.09	SPAC1142.09	unknown	Not_determined	-0.026	-0.0	-0.0	-0.0	-0.0
SPAC11D3.02c	SPAC11D3.02c	viable	V	-0.001	-0.004	-0.009	-0.011	-0.011
SPAC11D3.03c	SPAC11D3.03c	viable	V	0.0	0.0	0.0	0.0	0.0
SPAC11D3.04c	SPAC11D3.04c	viable	V	0.011	0.003	0.0	0.0	0.0
SPAC11D3.05	mfs2	viable	V	0.002	0.004	0.01	0.015	0.019
SPAC11D3.06	SPAC11D3.06	viable	V	0.0	0.0	0.0	0.063	0.828
SPAC11D3.07c	toe4	viable	V	0.001	0.008	0.016	0.019	0.02
SPAC11D3.08c	SPAC11D3.08c	viable	V	0.01	0.061	0.124	0.147	0.152
SPAC11D3.09	agm1	viable	V	0.015	0.083	0.174	0.209	0.218
SPAC11D3.10	SPAC11D3.10	viable	V	-0.026	-0.001	-0.0	-0.0	-0.0
SPAC11D3.11c	SPAC11D3.11c	unknown	Not_determined	0.063	0.015	0.001	0.0	0.0
SPAC11D3.13	hsp3104	viable	V	0.005	0.0	0.0	0.0	0.0
SPAC11D3.14c	oxp2	viable	V	-0.001	-0.005	-0.01	-0.012	-0.013
SPAC11D3.15	oxp1	viable	V	-0.002	-0.006	-0.014	-0.022	-0.028
SPAC11D3.16c	SPAC11D3.16c	viable	V	-0.004	-0.001	-0.0	-0.0	-0.0
SPAC11D3.17	SPAC11D3.17	viable	V	-0.025	-0.001	-0.0	-0.0	-0.0
SPAC11D3.18c	SPAC11D3.18c	viable	V	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC11D3.19	SPAC11D3.19	viable	Not_determined	-0.013	-0.0	-0.0	-0.0	-0.0
SPAC11D3.20	SPAC11D3.20	unknown	Not_determined	0.003	0.0	0.0	0.0	0.0
SPAC11E3.01c	swr1	viable	V	0.046	0.274	0.561	0.665	0.688
SPAC11E3.02c	ync13	condition-dependent	E	0.001	0.056	0.764	2.158	3.072
SPAC11E3.03	csm1	viable	V	0.0	0.001	0.212	1.432	2.425
SPAC11E3.04c	ubc13	viable	V	0.028	0.069	0.151	0.242	0.309
SPAC11E3.05	sea3	viable	V	0.081	0.755	2.576	3.972	4.524
SPAC11E3.06	map1	viable	V	0.004	0.025	0.051	0.06	0.062
SPAC11E3.07	vma4	inviable	E	0.146	0.534	1.526	2.771	3.718
SPAC11E3.08c	nse6	viable	V	0.0	0.001	0.268	1.478	2.351
SPAC11E3.09	pyp3	viable	V	0.0	0.0	0.0	0.188	1.607
SPAC11E3.10	SPAC11E3.10	viable	V	0.005	0.001	0.0	0.0	0.0
SPAC11E3.11c	syt22	viable	V	0.021	0.106	0.233	0.296	0.315
SPAC11E3.12	SPAC11E3.12	viable	V	-0.007	-0.043	-0.087	-0.103	-0.107
SPAC11E3.13c	gas5	viable	V	0.028	0.167	0.342	0.405	0.419
SPAC11E3.14	SPAC11E3.14	viable	V	0.019	0.005	0.0	0.0	0.0
