Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	R2	RMSE	normalized_RMSE	AIC	BIC
SPAC1002.02	pom34	viable	V	0.099	-0.007	0.0	0.814	6.703	15.943	15.129	4.905	0.036	0.009	-0.37103	0.133	0.456556	-14.15	-15.322
SPAC1002.03c	gls2	viable	V	0.258	0.024	0.0	0.648	5.332	12.684	12.036	3.902	0.095	1.722	0.259431	0.128	0.305515	-14.58	-15.752
SPAC1002.04c	taf11	inviable	E	8.542	0.733	2.629	3.34	8.487	16.564	13.224	6.916	3.142	35.706	0.996478	0.147	0.022741	-13.204	-14.376
SPAC1002.05c	jmj2	viable	V	0.107	-0.009	0.0	0.708	5.829	13.864	13.157	4.266	0.039	0.009	-0.77907	0.104	0.531165	-16.674	-17.846
SPAC1002.06c	bqt2	viable	V	-0.097	-0.016	0.0	0.364	3.001	7.138	6.773	2.196	-0.036	-0.871	0.063658	0.09	0.356264	-18.104	-19.276
SPAC1002.07c	SPAC1002.07c	viable	V	-0.247	0.037	0.0	0.411	3.383	8.046	7.635	2.476	-0.091	-0.011	-0.411799	0.078	0.450971	-19.451	-20.622
SPAC1002.08c	mtf1	inviable	E	5.509	0.656	4.606	5.12	8.831	14.656	9.536	7.698	2.027	19.955	0.999015	0.055	0.012348	-23.016	-24.188
SPAC1002.09c	dld1	inviable	E	5.685	0.631	4.089	4.639	8.616	14.857	10.218	7.402	2.091	21.855	0.999001	0.058	0.012427	-22.495	-23.667
SPAC1002.10c	sgt1	inviable	E	6.155	1.031	0.383	0.748	3.384	7.521	6.773	2.579	2.264	53.151	0.991477	0.218	0.034412	-9.255	-10.427
SPAC1002.11	gaa1	inviable	E	6.38	0.801	0.765	1.252	4.771	10.292	9.041	3.696	2.347	46.042	0.995632	0.154	0.024802	-12.703	-13.875
SPAC1002.12c	ssd1	viable	V	-0.061	0.004	0.0	0.926	7.628	18.144	17.218	5.582	-0.023	-0.006	-0.92649	0.105	0.56563	-16.572	-17.744
SPAC1002.13c	psu1	inviable	E	5.67	0.95	3.001	3.366	6.002	10.139	6.773	5.197	2.086	34.551	0.996931	0.126	0.023723	-14.715	-15.887
SPAC1002.14	itt1	viable	V	0.69	-0.045	0.0	0.931	7.662	18.225	17.294	5.607	0.254	0.073	-0.090898	0.094	0.396712	-17.6	-18.772
SPAC1002.15c	med6	viable	V	2.103	0.206	5.253	5.877	10.394	17.482	11.605	9.015	0.774	5.583	0.931617	0.136	0.091795	-13.962	-15.133
SPAC1002.16c	tna1	inviable	E	-0.025	-0.003	0.0	0.457	3.759	8.942	8.485	2.751	-0.009	-0.203	-0.224148	0.036	0.378235	-27.156	-28.328
SPAC1002.17c	urg2	viable	V	-0.321	0.021	0.0	0.919	7.571	18.008	17.088	5.54	-0.118	-0.033	-0.065816	0.171	0.364792	-11.635	-12.806
SPAC1002.18	urg3	viable	V	0.037	-0.005	0.0	0.413	3.401	8.09	7.676	2.489	0.014	0.002	-1.354541	0.046	0.576952	-24.757	-25.929
SPAC1002.19	urg1	viable	V	-0.102	0.014	0.0	0.454	3.74	8.895	8.441	2.737	-0.038	-0.005	-2.224567	0.073	0.584073	-20.172	-21.343
SPAC1002.20	SPAC1002.20	viable	V	-0.0	0.0	0.0	0.67	5.513	13.113	12.443	4.034	-0.0	-0.0	-0.692994	0.071	0.452875	-20.5	-21.672
SPAC1006.01	psp3	viable	V	0.725	0.121	-0.0	0.364	3.001	7.138	6.773	2.196	0.267	6.522	0.786486	0.119	0.163223	-15.287	-16.459
SPAC1006.03c	red1	viable	V	0.821	0.068	3.348	4.088	9.447	17.855	13.766	7.811	0.302	2.899	0.980413	0.032	0.052666	-28.283	-29.455
SPAC1006.04c	mcp3	viable	V	0.182	-0.012	0.0	0.913	7.518	17.881	16.968	5.501	0.067	0.019	-0.063136	0.066	0.34159	-21.192	-22.364
SPAC1006.05c	och1	viable	V	5.752	0.964	1.013	1.377	4.014	8.15	6.773	3.209	2.116	46.193	0.882046	0.811	0.133863	3.908	2.736
SPAC1006.06	rgf2	viable	V	-0.302	-0.051	0.0	0.364	3.001	7.138	6.773	2.196	-0.111	-2.717	0.955196	0.026	0.081844	-30.518	-31.69
SPAC1006.07	tif1	inviable	E	5.497	0.921	-0.0	0.364	3.001	7.138	6.773	2.196	2.022	49.447	0.690701	1.083	0.195667	6.799	5.628
SPAC1006.08	etd1	condition-dependent	E	6.458	1.082	1.103	1.468	4.104	8.241	6.773	3.299	2.376	51.291	0.988488	0.276	0.042514	-6.867	-8.039
SPAC1006.09	win1	viable	V	0.415	0.027	0.0	0.945	7.782	18.51	17.565	5.695	0.153	2.074	0.952464	0.027	0.082938	-29.983	-31.155
SPAC1039.01	SPAC1039.01	viable	V	-0.45	0.064	0.0	0.426	3.51	8.349	7.923	2.569	-0.165	-0.022	-0.485319	0.065	0.429698	-21.351	-22.523
SPAC1039.02	efn2	viable	V	-0.39	0.058	0.0	0.413	3.401	8.089	7.676	2.489	-0.143	-0.018	-0.475466	0.055	0.421957	-23.031	-24.202
SPAC1039.03	SPAC1039.03	viable	V	0.157	0.026	-0.0	0.364	3.001	7.138	6.773	2.196	0.058	1.412	-0.169955	0.219	0.40655	-9.199	-10.371
SPAC1039.04	SPAC1039.04	viable	V	-0.06	-0.005	0.0	0.75	6.174	14.686	13.936	4.518	-0.022	-0.36	0.276004	0.043	0.299091	-25.519	-26.691
SPAC1039.05c	klf1	viable	V	-0.319	0.047	-0.0	0.416	3.422	8.139	7.724	2.504	-0.117	-0.015	-0.055756	0.044	0.362508	-25.184	-26.356
SPAC1039.06	SPAC1039.06	viable	V	-0.029	-0.005	0.0	0.364	3.001	7.138	6.773	2.196	-0.011	-0.258	0.038318	0.05	0.341222	-23.925	-25.097
SPAC1039.07c	SPAC1039.07c	viable	V	-0.433	0.06	-0.0	0.439	3.618	8.606	8.167	2.648	-0.159	-0.021	-0.81319	0.059	0.494957	-22.235	-23.407
SPAC1039.08	SPAC1039.08	viable	V	0.266	-0.019	0.0	0.834	6.863	16.325	15.491	5.022	0.098	0.025	-0.161378	0.121	0.377815	-15.159	-16.331
SPAC1039.09	isp5	viable	V	-0.232	-0.039	-0.0	0.364	3.001	7.138	6.773	2.196	-0.085	-2.087	0.186416	0.089	0.332027	-18.156	-19.328
SPAC1039.10	mmf2	viable	V	-0.425	0.057	0.0	0.455	3.746	8.911	8.456	2.742	-0.156	-0.022	-0.022509	0.097	0.372248	-17.353	-18.524
SPAC1039.11c	gto1	viable	V	-1.0	0.065	0.0	0.945	7.782	18.51	17.565	5.695	-0.368	-0.107	-0.473963	0.168	0.424002	-11.818	-12.99
SPAC105.01c	kha1	viable	V	-0.009	0.002	0.0	0.364	3.001	7.138	6.773	2.196	-0.003	-0.0	-1.478254	0.089	0.660933	-18.24	-19.412
SPAC105.03c	dal81	viable	V	-0.001	0.0	0.0	0.364	3.001	7.137	6.773	2.196	-0.0	-0.0	-0.829714	0.144	0.499127	-13.397	-14.569
SPAC1071.01c	pta1	inviable	E	6.121	0.77	0.317	0.802	4.313	9.822	9.019	3.241	2.252	46.744	0.992069	0.197	0.032657	-10.243	-11.415
SPAC1071.02	mms19	viable	V	3.266	0.373	0.888	1.423	5.291	11.36	9.937	4.11	1.202	21.967	0.99611	0.072	0.023406	-20.256	-21.428
SPAC1071.03c	sil1	viable	V	1.799	0.301	9.511	9.875	12.512	16.648	6.773	11.707	0.662	1.468	0.79153	0.164	0.172071	-12.059	-13.231
SPAC1071.04c	spc2	viable	V	0.754	0.126	5.887	6.252	8.888	13.025	6.773	8.083	0.278	2.577	0.989633	0.029	0.040984	-29.484	-30.656
SPAC1071.05	hpm1	viable	V	0.385	0.064	-0.0	0.364	3.001	7.138	6.773	2.196	0.142	3.461	0.387367	0.113	0.278776	-15.837	-17.009
SPAC1071.06	arp9	viable	V	0.623	0.05	0.0	0.757	6.232	14.822	14.065	4.56	0.229	3.72	0.986846	0.022	0.041524	-32.014	-33.185
SPAC1071.09c	djc9	viable	V	0.849	0.058	0.879	1.77	8.219	18.338	16.568	6.25	0.312	3.935	0.896328	0.079	0.123472	-19.365	-20.536
