Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	RevisedDeletion_essentiality	time_points	Status	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	AIC	BIC	R2	RMSE	normalized_RMSE	YES0	YES1	YES2	YES3	YES4	YES0_fitted	YES1_fitted	YES2_fitted	YES3_fitted	YES4_fitted	YES0_residual	YES1_residual	YES2_residual	YES3_residual	YES4_residual	cluster	revised_cluster
SPAC1002.02	pom34	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	0.099	-0.007	0.0	0.814	6.703	15.943	15.129	4.905	0.036	0.009	-14.15	-15.322	-0.37103	0.133	0.456556	0.0	0.034	-0.144	0.021	-0.258	0.007	0.001	0.0	0.0	0.0	-0.007	0.033	-0.144	0.021	-0.258	27	9
SPAC1002.03c	gls2	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	0.258	0.024	0.0	0.648	5.332	12.684	12.036	3.902	0.095	1.722	-14.58	-15.752	0.259431	0.128	0.305515	0.0	0.16	-0.03	0.388	0.143	0.017	0.058	0.135	0.198	0.231	-0.017	0.102	-0.165	0.19	-0.088	42	9
SPAC1002.04c	taf11	inviable	E	E	0.0,2.352,5.588,9.104,12.48	Success	8.542	0.733	2.629	3.34	8.487	16.564	13.224	6.916	3.142	35.706	-13.204	-14.376	0.996478	0.147	0.022741	0.0	0.666	1.987	4.839	6.444	0.056	0.47	2.186	4.686	6.5	-0.056	0.196	-0.199	0.153	-0.056	1	6
SPAC1002.05c	jmj2	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	0.107	-0.009	0.0	0.708	5.829	13.864	13.157	4.266	0.039	0.009	-16.674	-17.846	-0.77907	0.104	0.531165	0.0	0.048	-0.122	-0.147	-0.122	0.007	0.001	0.0	0.0	0.0	-0.007	0.047	-0.122	-0.147	-0.122	27	9
SPAC1002.06c	bqt2	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	-0.097	-0.016	0.0	0.364	3.001	7.138	6.773	2.196	-0.036	-0.871	-18.104	-19.276	0.063658	0.09	0.356264	0.0	-0.06	-0.202	-0.149	0.05	-0.006	-0.038	-0.078	-0.093	-0.096	0.006	-0.022	-0.124	-0.056	0.146	0	9
SPAC1002.07c	SPAC1002.07c	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	-0.247	0.037	0.0	0.411	3.383	8.046	7.635	2.476	-0.091	-0.011	-19.451	-20.622	-0.411799	0.078	0.450971	0.0	-0.051	0.007	-0.167	0.002	-0.016	-0.0	-0.0	-0.0	-0.0	0.016	-0.051	0.007	-0.167	0.002	42	9
SPAC1002.08c	mtf1	inviable	E	E	0.0,2.352,5.588,9.104,12.48	Success	5.509	0.656	4.606	5.12	8.831	14.656	9.536	7.698	2.027	19.955	-23.016	-24.188	0.999015	0.055	0.012348	0.0	0.139	0.735	2.932	4.449	0.0	0.02	0.762	2.921	4.452	0.0	0.119	-0.027	0.011	-0.003	24	6
SPAC1002.09c	dld1	inviable	E	E	0.0,2.352,5.588,9.104,12.48	Success	5.685	0.631	4.089	4.639	8.616	14.857	10.218	7.402	2.091	21.855	-22.495	-23.667	0.999001	0.058	0.012427	0.0	-0.064	1.043	3.1	4.593	0.0	0.058	1.009	3.126	4.581	0.0	-0.122	0.034	-0.026	0.012	54	6
SPAC1002.10c	sgt1	inviable	E	E	0.0,2.352,5.588,9.104,12.48	Success	6.155	1.031	0.383	0.748	3.384	7.521	6.773	2.579	2.264	53.151	-9.255	-10.427	0.991477	0.218	0.034412	0.0	2.099	4.865	5.515	6.321	0.242	2.03	4.774	5.847	6.087	-0.242	0.069	0.091	-0.332	0.234	43	1
SPAC1002.11	gaa1	inviable	E	E	0.0,2.352,5.588,9.104,12.48	Success	6.38	0.801	0.765	1.252	4.771	10.292	9.041	3.696	2.347	46.042	-12.703	-13.875	0.995632	0.154	0.024802	0.0	1.35	3.872	5.218	6.212	0.187	1.312	3.776	5.447	6.069	-0.187	0.038	0.096	-0.229	0.143	9	3
SPAC1002.12c	ssd1	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	-0.061	0.004	0.0	0.926	7.628	18.144	17.218	5.582	-0.023	-0.006	-16.572	-17.744	-0.92649	0.105	0.56563	0.0	-0.024	0.076	0.15	0.161	-0.004	-0.001	-0.0	-0.0	-0.0	0.004	-0.023	0.076	0.15	0.161	27	9
SPAC1002.13c	psu1	inviable	E	E	0.0,2.352,5.588,9.104,12.48	Success	5.67	0.95	3.001	3.366	6.002	10.139	6.773	5.197	2.086	34.551	-14.715	-15.887	0.996931	0.126	0.023723	0.0	0.169	2.375	5.008	5.311	0.0	0.147	2.455	4.789	5.467	0.0	0.022	-0.08	0.219	-0.156	41	4
SPAC1002.14	itt1	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	0.69	-0.045	0.0	0.931	7.662	18.225	17.294	5.607	0.254	0.073	-17.6	-18.772	-0.090898	0.094	0.396712	0.0	0.124	0.142	-0.022	-0.096	0.046	0.011	0.0	0.0	0.0	-0.046	0.113	0.142	-0.022	-0.096	0	9
SPAC1002.15c	med6	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	2.103	0.206	5.253	5.877	10.394	17.482	11.605	9.015	0.774	5.583	-13.962	-15.133	0.931617	0.136	0.091795	0.0	0.254	0.256	0.652	1.48	0.0	0.006	0.175	0.792	1.413	0.0	0.248	0.081	-0.14	0.067	33	8
SPAC1002.16c	tna1	inviable	E	V	0.0,2.352,5.588,9.104,12.48	Success	-0.025	-0.003	0.0	0.457	3.759	8.942	8.485	2.751	-0.009	-0.203	-27.156	-28.328	-0.224148	0.036	0.378235	0.0	-0.001	-0.044	-0.029	0.052	-0.002	-0.008	-0.017	-0.022	-0.024	0.002	0.007	-0.027	-0.007	0.076	27	9
SPAC1002.17c	urg2	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	-0.321	0.021	0.0	0.919	7.571	18.008	17.088	5.54	-0.118	-0.033	-11.635	-12.806	-0.065816	0.171	0.364792	0.0	-0.18	0.29	-0.053	0.17	-0.021	-0.005	-0.0	-0.0	-0.0	0.021	-0.175	0.29	-0.053	0.17	42	9
SPAC1002.18	urg3	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	0.037	-0.005	0.0	0.413	3.401	8.09	7.676	2.489	0.014	0.002	-24.757	-25.929	-1.354541	0.046	0.576952	0.0	0.044	0.003	0.08	0.048	0.002	0.0	0.0	0.0	0.0	-0.002	0.044	0.003	0.08	0.048	27	9
SPAC1002.19	urg1	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	-0.102	0.014	0.0	0.454	3.74	8.895	8.441	2.737	-0.038	-0.005	-20.172	-21.343	-2.224567	0.073	0.584073	0.0	-0.063	-0.125	-0.043	-0.072	-0.007	-0.0	-0.0	-0.0	-0.0	0.007	-0.063	-0.125	-0.043	-0.072	27	9
SPAC1002.20	SPAC1002.20	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	-0.0	0.0	0.0	0.67	5.513	13.113	12.443	4.034	-0.0	-0.0	-20.5	-21.672	-0.692994	0.071	0.452875	0.0	0.021	-0.053	-0.135	-0.059	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.021	-0.053	-0.135	-0.059	27	9
SPAC1006.01	psp3	viable	V	V	0.0,2.352,5.588,9.104,12.48	Success	0.725	0.121	-0.0	0.364	3.001	7.138	6.773	2.196	0.267	6.522	-15.287	-16.459	0.786486	0.119	0.163223	0.0	0.453	0.729	0.645	0.586	0.048	0.286	0.586	0.694	0.718	-0.048	0.167	0.143	-0.049	-0.132	39	9
