Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC1002.01	mrx11	viable	V	0.0	-0.164	1.299	-0.671	0.632	0.313	0.426
SPAC1002.02	pom34	viable	V	0.0	-0.202	-0.517	-0.028	1.018	-0.226	-0.076
SPAC1002.03c	gls2	viable	V	0.0	-0.127	0.206	0.496	0.805	0.87	0.897
SPAC1002.04c	taf11	inviable	E	0.0	0.291	2.414	3.421	5.392	5.058	4.024
SPAC1002.05c	jmj2	viable	V	0.0	-0.291	-0.313	-0.243	-0.5	-0.506	-0.613
SPAC1002.06c	bqt2	viable	V	0.0	0.294	0.467	-0.425	0.138	0.62	0.256
SPAC1002.07c	SPAC1002.07c	viable	V	0.0	0.445	0.533	0.922	0.919	0.926	1.842
SPAC1002.08c	mtf1	inviable	E	0.0	0.284	0.995	2.26	2.691	3.584	3.246
SPAC1002.09c	dld1	inviable	E	0.0	0.056	0.705	2.182	3.695	4.19	4.178
SPAC1002.10c	sgt1	inviable	E	0.0	2.017	3.586	4.11	4.502	4.513	4.803
SPAC1002.11	gaa1	inviable	E	0.0	1.942	3.919	4.456	4.086	4.469	4.494
SPAC1002.12c	ssd1	viable	V	0.0	0.219	-0.005	0.154	0.417	0.027	-0.07
SPAC1002.13c	psu1	inviable	E	0.0	0.389	2.093	3.952	4.107	4.432	4.388
SPAC1002.14	itt1	viable	V	0.0	0.29	0.131	0.984	0.998	1.714	0.675
SPAC1002.15c	med6	viable	V	0.0	0.143	0.573	1.22	1.595	1.395	1.942
SPAC1002.16c	tna1	inviable	E	0.0	-0.139	-0.094	0.119	-0.263	-0.334	-0.105
SPAC1002.17c	urg2	viable	V	0.0	-0.146	0.026	-0.627	-0.386	-0.222	-0.253
SPAC1002.18	urg3	viable	V	0.0	-0.092	0.048	0.232	0.176	0.304	0.478
SPAC1002.19	urg1	viable	V	0.0	-0.056	-0.123	-0.294	-0.269	-0.25	-0.366
SPAC1002.20	SPAC1002.20	viable	V	0.0	-0.169	-0.043	-0.13	-0.243	-0.152	-0.272
SPAC1006.01	psp3	viable	V	0.0	0.549	0.505	0.65	0.761	0.984	0.7
SPAC1006.02	asa1	inviable	E	0.0	0.564	1.48	1.163	1.981	1.981	1.51
SPAC1006.03c	red1	viable	V	0.0	0.477	1.332	1.622	1.894	1.953	2.251
SPAC1006.04c	mcp3	viable	V	0.0	0.068	0.502	0.323	0.776	0.611	0.547
SPAC1006.05c	och1	viable	V	0.0	0.189	0.816	2.245	3.355	2.776	3.44
SPAC1006.06	rgf2	viable	V	0.0	-0.027	-0.204	-0.04	0.019	0.022	-0.246
SPAC1006.07	tif1	inviable	E	0.0	1.428	2.074	1.726	1.61	1.726	2.074
SPAC1006.08	etd1	condition-dependent	E	0.0	1.618	3.774	4.442	4.109	4.372	4.412
SPAC1006.09	win1	viable	V	0.0	0.018	0.115	0.47	0.467	0.614	0.604
SPAC1039.01	SPAC1039.01	viable	V	0.0	-0.423	-0.411	-0.036	-0.205	0.818	1.57
SPAC1039.02	efn2	viable	V	0.0	0.154	0.222	0.977	0.658	0.543	0.457
SPAC1039.03	SPAC1039.03	viable	V	0.0	0.016	0.588	0.894	-0.095	0.124	-0.395
SPAC1039.04	SPAC1039.04	viable	V	0.0	-0.007	-0.06	-0.14	-0.574	-0.089	-0.234
SPAC1039.05c	klf1	viable	V	0.0	-0.118	-0.014	-0.051	-0.035	0.117	0.33
SPAC1039.06	SPAC1039.06	viable	V	0.0	-0.046	-0.15	0.149	0.241	0.238	0.112
SPAC1039.07c	SPAC1039.07c	viable	V	0.0	-0.112	0.006	-0.229	0.185	0.082	0.026
SPAC1039.08	SPAC1039.08	viable	V	0.0	0.473	-0.03	0.712	0.439	0.299	0.448
SPAC1039.09	isp5	viable	V	0.0	-0.28	0.444	0.41	0.243	0.316	0.609
SPAC1039.10	mmf2	viable	V	0.0	-0.239	-0.088	0.516	-0.512	0.129	-0.267
SPAC1039.11c	gto1	viable	V	0.0	-0.192	-0.058	-0.316	-0.221	-0.432	-0.379
SPAC105.01c	kha1	viable	V	0.0	0.217	0.469	0.159	0.749	1.366	1.066
SPAC105.03c	dal81	viable	V	0.0	0.386	0.875	0.848	0.597	0.838	0.649
SPAC1071.01c	pta1	inviable	E	0.0	1.678	3.543	4.754	4.855	5.209	4.883
SPAC1071.02	mms19	viable	V	0.0	0.572	1.178	2.061	2.65	3.274	3.826
SPAC1071.03c	sil1	viable	V	0.0	0.285	0.223	0.441	0.595	0.422	0.216
SPAC1071.04c	spc2	viable	V	0.0	-0.286	0.05	0.607	0.781	2.081	3.109
SPAC1071.05	hpm1	viable	V	0.0	0.643	0.879	1.173	0.215	1.236	1.04
SPAC1071.06	arp9	viable	V	0.0	-0.175	0.344	0.726	0.915	1.425	1.785
SPAC1071.09c	djc9	viable	V	0.0	-0.326	-0.014	0.41	0.073	0.319	0.727
SPAC1071.10c	pma1	inviable	E	0.0	1.453	3.934	4.291	4.004	4.24	4.267
SPAC1071.11	coq12	condition-dependent	V	0.0	0.138	-0.318	0.673	0.695	1.156	1.3
SPAC1071.12c	stp1	viable	V	0.0	0.085	-0.026	-0.101	-0.1	0.048	-0.04
SPAC1071.13	SPAC1071.13	unknown	Not_determined	0.0	0.098	-0.221	-0.085	0.289	-0.249	0.196
SPAC1093.01	ppr5	viable	V	0.0	0.055	0.259	0.029	0.74	0.416	0.416
SPAC1093.02	pdx3	viable	V	0.0	0.217	0.532	0.747	0.308	1.25	0.637
SPAC1093.03	fig4	viable	V	0.0	0.349	0.421	1.012	0.731	1.017	0.584
SPAC1093.04c	cca1	inviable	E	0.0	1.676	3.108	3.829	3.964	4.149	3.854
SPAC1093.05	hca4	inviable	E	0.0	1.341	2.713	2.651	3.14	2.601	2.833
SPAC1093.06c	dhc1	viable	V	0.0	-0.001	0.008	0.143	0.176	0.274	0.233
SPAC10F6.01c	sir1	viable	V	0.0	0.349	0.513	0.443	0.71	0.993	1.069
SPAC10F6.02c	prp22	inviable	E	0.0	1.33	2.636	3.791	4.018	3.938	3.923
SPAC10F6.03c	cts1	inviable	E	0.0	2.052	3.639	4.092	4.235	4.576	4.653
SPAC10F6.04	ats1	viable	V	0.0	0.096	0.245	0.737	0.992	1.094	1.366
SPAC10F6.05c	ubc6	viable	V	0.0	-0.004	0.116	-0.084	-0.187	-0.251	-0.051
SPAC10F6.06	vip1	viable	V	0.0	0.046	0.081	-0.503	-0.38	0.082	-0.078
SPAC10F6.08c	nht1	viable	V	0.0	0.324	0.423	0.656	0.844	1.299	1.869
