Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	YES0	YES1	YES2	YES3	YES4	YES5	YES6
SPAC1002.01	mrx11	viable	V	0.024	0.166	0.304	0.35	0.36	0.363	0.364
SPAC1002.02	pom34	viable	V	0.004	0.015	0.038	0.059	0.073	0.081	0.088
SPAC1002.03c	gls2	viable	V	0.0	0.01	0.191	0.544	0.763	0.863	0.912
SPAC1002.04c	taf11	inviable	E	0.001	0.289	2.3	3.979	4.544	4.713	4.764
SPAC1002.05c	jmj2	viable	V	-0.04	-0.116	-0.243	-0.37	-0.462	-0.528	-0.603
SPAC1002.06c	bqt2	viable	V	0.015	0.107	0.196	0.225	0.232	0.234	0.234
SPAC1002.07c	SPAC1002.07c	viable	V	0.152	0.267	0.448	0.674	0.904	1.153	1.832
SPAC1002.08c	mtf1	inviable	E	0.005	0.172	1.066	2.209	2.888	3.228	3.431
SPAC1002.09c	dld1	inviable	E	0.0	0.009	0.6	2.362	3.555	4.082	4.313
SPAC1002.10c	sgt1	inviable	E	0.255	1.851	3.642	4.327	4.504	4.552	4.565
SPAC1002.11	gaa1	inviable	E	0.249	1.94	3.699	4.295	4.433	4.467	4.476
SPAC1002.12c	ssd1	viable	V	0.008	0.058	0.107	0.123	0.126	0.127	0.127
SPAC1002.13c	psu1	inviable	E	0.001	0.286	2.218	3.749	4.241	4.383	4.424
SPAC1002.14	itt1	viable	V	0.0	0.001	0.254	0.851	1.099	1.169	1.187
SPAC1002.15c	med6	viable	V	0.019	0.174	0.629	1.142	1.474	1.667	1.816
SPAC1002.16c	tna1	inviable	E	-0.003	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1002.17c	urg2	viable	V	-0.022	-0.11	-0.229	-0.296	-0.322	-0.332	-0.336
SPAC1002.18	urg3	viable	V	0.038	0.066	0.112	0.168	0.226	0.288	0.456
SPAC1002.19	urg1	viable	V	-0.006	-0.049	-0.151	-0.24	-0.286	-0.308	-0.322
SPAC1002.20	SPAC1002.20	viable	V	-0.037	-0.018	-0.006	-0.001	-0.0	-0.0	-0.0
SPAC1006.01	psp3	viable	V	0.051	0.353	0.648	0.746	0.768	0.774	0.775
SPAC1006.02	asa1	inviable	E	0.064	0.591	1.306	1.615	1.702	1.727	1.735
SPAC1006.03c	red1	viable	V	0.099	0.513	1.202	1.701	1.938	2.049	2.114
SPAC1006.04c	mcp3	viable	V	0.012	0.144	0.392	0.535	0.584	0.601	0.608
SPAC1006.05c	och1	viable	V	0.0	0.013	0.818	2.349	3.004	3.206	3.266
SPAC1006.06	rgf2	viable	V	-0.013	-0.023	-0.039	-0.058	-0.078	-0.099	-0.158
SPAC1006.07	tif1	inviable	E	0.129	0.893	1.638	1.886	1.943	1.957	1.96
SPAC1006.08	etd1	condition-dependent	E	0.159	1.692	3.558	4.227	4.384	4.423	4.433
SPAC1006.09	win1	viable	V	0.001	0.035	0.197	0.397	0.517	0.578	0.617
SPAC1039.01	SPAC1039.01	viable	V	0.0	0.0	0.0	0.0	0.04	0.765	1.589
SPAC1039.02	efn2	viable	V	0.002	0.111	0.427	0.583	0.622	0.632	0.635
SPAC1039.03	SPAC1039.03	viable	V	0.014	0.094	0.172	0.198	0.204	0.206	0.206
SPAC1039.04	SPAC1039.04	viable	V	-0.01	-0.005	-0.001	-0.0	-0.0	-0.0	-0.0
SPAC1039.05c	klf1	viable	V	-0.011	-0.005	-0.002	-0.0	-0.0	-0.0	-0.0
SPAC1039.06	SPAC1039.06	viable	V	0.006	0.027	0.068	0.112	0.143	0.164	0.185
SPAC1039.07c	SPAC1039.07c	viable	V	-0.018	-0.009	-0.003	-0.001	-0.0	-0.0	-0.0
SPAC1039.08	SPAC1039.08	viable	V	0.028	0.195	0.357	0.411	0.423	0.426	0.427
SPAC1039.09	isp5	viable	V	0.0	0.041	0.252	0.383	0.419	0.428	0.43
SPAC1039.10	mmf2	viable	V	-0.009	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1039.11c	gto1	viable	V	-0.027	-0.077	-0.161	-0.245	-0.307	-0.352	-0.405
SPAC105.01c	kha1	viable	V	0.03	0.118	0.318	0.572	0.792	0.97	1.21
SPAC105.03c	dal81	viable	V	0.052	0.359	0.66	0.759	0.782	0.788	0.789
SPAC1071.01c	pta1	inviable	E	0.157	1.575	3.673	4.643	4.928	5.014	5.041
SPAC1071.02	mms19	viable	V	0.133	0.484	1.207	2.046	2.712	3.217	3.836
SPAC1071.03c	sil1	viable	V	0.027	0.186	0.342	0.393	0.405	0.408	0.409
SPAC1071.04c	spc2	viable	V	0.0	0.001	0.053	0.401	1.087	1.902	3.138
SPAC1071.05	hpm1	viable	V	0.064	0.439	0.806	0.928	0.956	0.963	0.964
SPAC1071.06	arp9	viable	V	0.006	0.056	0.272	0.66	1.044	1.368	1.781
SPAC1071.09c	djc9	viable	V	0.006	0.022	0.064	0.14	0.237	0.356	0.688
SPAC1071.10c	pma1	inviable	E	0.151	1.641	3.475	4.135	4.29	4.328	4.337
SPAC1071.11	coq12	condition-dependent	V	0.0	0.0	0.049	0.445	0.887	1.131	1.253
SPAC1071.12c	stp1	viable	V	0.008	0.004	0.001	0.0	0.0	0.0	0.0
SPAC1071.13	SPAC1071.13	unknown	Not_determined	-0.003	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
SPAC1093.01	ppr5	viable	V	0.033	0.102	0.217	0.325	0.398	0.446	0.495
SPAC1093.02	pdx3	viable	V	0.052	0.233	0.494	0.663	0.738	0.771	0.789
SPAC1093.03	fig4	viable	V	0.05	0.295	0.606	0.755	0.804	0.82	0.826
SPAC1093.04c	cca1	inviable	E	0.162	1.572	3.223	3.811	3.949	3.983	3.992
SPAC1093.05	hca4	inviable	E	0.191	1.321	2.425	2.792	2.876	2.897	2.902
SPAC1093.06c	dhc1	viable	V	0.02	0.042	0.08	0.124	0.165	0.203	0.277
SPAC10F6.01c	sir1	viable	V	0.074	0.19	0.384	0.595	0.765	0.9	1.092
SPAC10F6.02c	prp22	inviable	E	0.137	1.205	2.826	3.642	3.904	3.988	4.018
SPAC10F6.03c	cts1	inviable	E	0.24	1.913	3.673	4.272	4.411	4.446	4.454
SPAC10F6.04	ats1	viable	V	0.009	0.084	0.334	0.684	0.96	1.153	1.345
SPAC10F6.05c	ubc6	viable	V	0.041	0.02	0.007	0.002	0.0	0.0	0.0
SPAC10F6.06	vip1	viable	V	0.004	0.002	0.0	0.0	0.0	0.0	0.0
SPAC10F6.08c	nht1	viable	V	0.117	0.233	0.43	0.682	0.939	1.208	1.873
