Systematic ID	Name	FYPOviability	DeletionLibrary_essentiality	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	R2	RMSE	normalized_RMSE	AIC	BIC
SPAC1002.01	mrx11	viable	V	0.364	0.061	0.0	0.364	3.001	7.138	6.773	2.196	0.134	9.294	0.059585	0.563	0.285969	-2.034	-2.196
SPAC1002.02	pom34	viable	V	0.088	0.007	0.742	1.485	6.86	15.294	13.809	5.219	0.032	1.871	0.017488	0.444	0.288983	-5.38	-5.542
SPAC1002.03c	gls2	viable	V	0.913	0.11	4.284	4.789	8.443	14.176	9.387	7.327	0.336	18.23	0.978808	0.058	0.056337	-33.938	-34.1
SPAC1002.04c	taf11	inviable	E	4.764	0.728	2.797	3.197	6.088	10.624	7.427	5.205	1.753	107.017	0.938579	0.494	0.091666	-3.866	-4.028
SPAC1002.05c	jmj2	viable	V	-0.612	-0.041	-0.0	0.917	7.551	17.961	17.044	5.526	-0.225	-12.432	0.783072	0.089	0.144951	-27.891	-28.053
SPAC1002.06c	bqt2	viable	V	0.234	0.039	-0.0	0.364	3.001	7.138	6.773	2.196	0.086	5.982	0.004998	0.314	0.300507	-10.216	-10.378
SPAC1002.07c	SPAC1002.07c	viable	V	2.309	0.072	-0.0	1.957	16.116	38.334	36.377	11.794	0.849	29.585	0.910696	0.158	0.086021	-19.792	-19.955
SPAC1002.08c	mtf1	inviable	E	3.436	0.366	3.06	3.633	7.777	14.28	10.648	6.512	1.264	70.635	0.982344	0.177	0.049415	-18.234	-18.397
SPAC1002.09c	dld1	inviable	E	4.315	0.559	5.058	5.529	8.937	14.285	8.755	7.897	1.587	84.253	0.995633	0.117	0.027804	-24.098	-24.26
SPAC1002.10c	sgt1	inviable	E	4.565	0.717	0.141	0.53	3.342	7.756	7.227	2.484	1.68	114.993	0.989117	0.169	0.035237	-18.87	-19.032
SPAC1002.11	gaa1	inviable	E	4.476	0.75	0.134	0.498	3.135	7.272	6.773	2.33	1.647	113.81	0.985583	0.192	0.04267	-17.121	-17.284
SPAC1002.12c	ssd1	viable	V	0.127	0.021	-0.0	0.364	3.001	7.138	6.773	2.196	0.047	3.256	-0.002101	0.157	0.322744	-19.905	-20.068
SPAC1002.13c	psu1	inviable	E	4.424	0.691	2.741	3.132	5.96	10.397	7.265	5.097	1.627	99.993	0.996017	0.113	0.025452	-24.55	-24.712
