gene_systematic_id	gene_name	type	extension	copies_per_cell	range	evidence	scale	condition	reference	taxon	date
SPAC1002.01	mrx11	protein	during(GO:0072690)	4983		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.01	mrx11	RNA	during(GO:0072690)	0.46		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.01	mrx11	RNA	during(PBQ:0000003)	0.14		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.02	pom34	protein	during(GO:0072690)	2564.51		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.02	pom34	protein	during(GO:0000085)	22116		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.02	pom34	protein	during(GO:0000087)	24693		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.02	pom34	protein	during(GO:0000080)	21784		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.02	pom34	protein	during(GO:0000084)	21848		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.02	pom34	protein	during(GO:0072690)	25023		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.02	pom34	RNA	during(GO:0072690)	3.8		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.02	pom34	RNA	during(PBQ:0000003)	0.61		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.03c	gls2	protein	during(GO:0072690)	9719.87		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.03c	gls2	protein	during(PBQ:0000003)	2906.37		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.03c	gls2	protein	during(GO:0000085)	24396		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.03c	gls2	protein	during(GO:0000087)	25695		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.03c	gls2	protein	during(GO:0000080)	23514		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.03c	gls2	protein	during(GO:0000084)	26127		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.03c	gls2	protein	during(GO:0072690)	25026		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.03c	gls2	RNA	during(GO:0072690)	7.2		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.03c	gls2	RNA	during(PBQ:0000003)	1.8		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.04c	taf11	protein	during(GO:0072690)	1600.25		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.04c	taf11	protein	during(PBQ:0000003)	134.93		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.04c	taf11	protein	during(GO:0072690)	7944		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.04c	taf11	RNA	during(GO:0072690)	1.4		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.04c	taf11	RNA	during(PBQ:0000003)	0.42		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.05c	jmj2	RNA	during(GO:0072690)	0.52		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.05c	jmj2	RNA	during(PBQ:0000003)	0.3		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.06c	bqt2	RNA	during(GO:0072690)	0.088		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.06c	bqt2	RNA	during(PBQ:0000003)	0.12		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.07c		protein	during(GO:0072690)	5061.92		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.07c		protein	during(GO:0000085)	70665		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.07c		protein	during(GO:0000087)	74023		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.07c		protein	during(GO:0000080)	66945		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.07c		protein	during(GO:0000084)	68540		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.07c		protein	during(GO:0072690)	67862		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.07c		RNA	during(GO:0072690)	6.1		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.07c		RNA	during(PBQ:0000003)	1.2		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.08c	mtf1	RNA	during(GO:0072690)	0.91		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.08c	mtf1	RNA	during(PBQ:0000003)	0.16		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.09c	dld1	protein	during(GO:0072690)	62710.75		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.09c	dld1	protein	during(PBQ:0000003)	34368.22		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.09c	dld1	protein	during(GO:0000085)	131552		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.09c	dld1	protein	during(GO:0000087)	134415		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.09c	dld1	protein	during(GO:0000080)	132864		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.09c	dld1	protein	during(GO:0000084)	138299		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.09c	dld1	protein	during(GO:0072690)	135947		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.09c	dld1	RNA	during(GO:0072690)	12		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.09c	dld1	RNA	during(PBQ:0000003)	2.4		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.10c	sgt1	protein	during(GO:0000087)	6108		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.10c	sgt1	protein	during(GO:0000084)	5486		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.10c	sgt1	protein	during(GO:0072690)	5675		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.10c	sgt1	RNA	during(GO:0072690)	1.9		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.10c	sgt1	RNA	during(PBQ:0000003)	0.56		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.11	gaa1	protein	during(GO:0072690)	910.25		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.11	gaa1	RNA	during(GO:0072690)	0.86		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.11	gaa1	RNA	during(PBQ:0000003)	0.13		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.12c	ssd1	protein	during(GO:0072690)	2371.58		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.12c	ssd1	protein	during(PBQ:0000003)	10155.72		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.12c	ssd1	protein	during(GO:0000085)	28490		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.12c	ssd1	protein	during(GO:0000087)	31782		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.12c	ssd1	protein	during(GO:0000080)	27346		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.12c	ssd1	protein	during(GO:0000084)	32478		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.12c	ssd1	protein	during(GO:0072690)	31040		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.12c	ssd1	RNA	during(GO:0072690)	2.3		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.12c	ssd1	RNA	during(PBQ:0000003)	1.2		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.13c	psu1	protein	during(GO:0072690)	14645.45		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.13c	psu1	protein	during(PBQ:0000003)	17168.12		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.13c	psu1	protein	during(GO:0072690)	1164		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.13c	psu1	RNA	during(GO:0072690)	48		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.13c	psu1	RNA	during(PBQ:0000003)	7.3		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.14	itt1	RNA	during(GO:0072690)	1.5		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.14	itt1	RNA	during(PBQ:0000003)	0.56		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.15c	med6	protein	during(GO:0072690)	2397.43		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.15c	med6	protein	during(PBQ:0000003)	5661.59		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.15c	med6	protein	during(GO:0000085)	1689		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.15c	med6	protein	during(GO:0000080)	2294		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.15c	med6	protein	during(GO:0072690)	2134		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.15c	med6	RNA	during(GO:0072690)	0.42		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.15c	med6	RNA	during(PBQ:0000003)	0.23		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.16c	tna1	RNA	during(GO:0072690)	0.76		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.16c	tna1	RNA	during(PBQ:0000003)	0.095		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.17c	urg2	protein	during(GO:0072690)	955.63		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.17c	urg2	protein	during(PBQ:0000003)	25478.39		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.17c	urg2	protein	during(GO:0000085)	8168		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.17c	urg2	protein	during(GO:0000087)	9213		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.17c	urg2	protein	during(GO:0000080)	9664		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.17c	urg2	protein	during(GO:0000084)	8566		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.17c	urg2	protein	during(GO:0072690)	9051		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.17c	urg2	RNA	during(GO:0072690)	0.74		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.17c	urg2	RNA	during(PBQ:0000003)	1.8		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.18	urg3	protein	during(GO:0072690)	7128.44		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.18	urg3	protein	during(PBQ:0000003)	8995.82		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.18	urg3	protein	during(GO:0000085)	13958		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.18	urg3	protein	during(GO:0000087)	14691		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.18	urg3	protein	during(GO:0000080)	15558		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.18	urg3	protein	during(GO:0000084)	13824		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.18	urg3	protein	during(GO:0072690)	14426		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1002.18	urg3	RNA	during(GO:0072690)	2.4		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.18	urg3	RNA	during(PBQ:0000003)	1.5		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.19	urg1	protein	during(PBQ:0000003)	9943.84		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.19	urg1	RNA	during(GO:0072690)	1.1		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.19	urg1	RNA	during(PBQ:0000003)	6.7		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.20		RNA	during(GO:0072690)	0		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1002.20		RNA	during(PBQ:0000003)	0.029		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.01	psp3	protein	during(GO:0072690)	4688.92		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.01	psp3	protein	during(PBQ:0000003)	30479.91		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.01	psp3	protein	during(GO:0000085)	41007		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.01	psp3	protein	during(GO:0000087)	39337		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.01	psp3	protein	during(GO:0000080)	40953		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.01	psp3	protein	during(GO:0000084)	45622		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.01	psp3	protein	during(GO:0072690)	41870		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.01	psp3	RNA	during(GO:0072690)	4.2		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.01	psp3	RNA	during(PBQ:0000003)	2.1		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.02	asa1	protein	during(GO:0000085)	4782		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.02	asa1	protein	during(GO:0000087)	6357		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.02	asa1	protein	during(GO:0000080)	5361		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.02	asa1	protein	during(GO:0000084)	4755		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.02	asa1	protein	during(GO:0072690)	5012		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.02	asa1	RNA	during(GO:0072690)	2.2		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.02	asa1	RNA	during(PBQ:0000003)	0.6		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.03c	red1	protein	during(GO:0072690)	1717.83		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.03c	red1	protein	during(PBQ:0000003)	2844.58		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.03c	red1	protein	during(GO:0000085)	1410		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.03c	red1	protein	during(GO:0000087)	1376		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.03c	red1	protein	during(GO:0000080)	1711		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.03c	red1	protein	during(GO:0000084)	1831		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.03c	red1	protein	during(GO:0072690)	1686		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.03c	red1	RNA	during(GO:0072690)	2.1		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.03c	red1	RNA	during(PBQ:0000003)	0.97		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.04c	mcp3	RNA	during(GO:0072690)	0.14		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.04c	mcp3	RNA	during(PBQ:0000003)	0.15		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.05c	och1	protein	during(GO:0072690)	1652.71		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.05c	och1	protein	during(PBQ:0000003)	8086.8		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.05c	och1	protein	during(GO:0000085)	7221		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.05c	och1	protein	during(GO:0000087)	7121		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.05c	och1	protein	during(GO:0000080)	7938		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.05c	och1	protein	during(GO:0000084)	7929		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.05c	och1	protein	during(GO:0072690)	7584		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.05c	och1	RNA	during(GO:0072690)	2.1		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.05c	och1	RNA	during(PBQ:0000003)	0.98		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.06	rgf2	protein	during(GO:0072690)	382.2		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.06	rgf2	RNA	during(GO:0072690)	3.4		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.06	rgf2	RNA	during(PBQ:0000003)	1		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.07	tif1	protein	during(GO:0072690)	154934.46		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.07	tif1	protein	during(PBQ:0000003)	53576.62		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.07	tif1	protein	during(GO:0000085)	511304		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.07	tif1	protein	during(GO:0000087)	460691		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.07	tif1	protein	during(GO:0000080)	453348		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.07	tif1	protein	during(GO:0000084)	411267		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.07	tif1	protein	during(GO:0072690)	438624		mass spectrometry evidence	single_cell	glucose MM,standard temperature	PMID:24763107	4896	2014-05-01
SPAC1006.07	tif1	RNA	during(GO:0072690)	110		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.07	tif1	RNA	during(PBQ:0000003)	14		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.08	etd1	RNA	during(GO:0072690)	1.3		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.08	etd1	RNA	during(PBQ:0000003)	0.16		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.09	win1	protein	during(GO:0072690)	1348.43		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.09	win1	protein	during(PBQ:0000003)	367.56		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.09	win1	RNA	during(GO:0072690)	1.8		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1006.09	win1	RNA	during(PBQ:0000003)	1.1		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1039.01		protein	during(PBQ:0000003)	7065.94		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1039.01		RNA	during(GO:0072690)	0.68		experimental evidence	population_wide	glucose MM,standard temperature	PMID:23101633	4896	2013-09-30
SPAC1039.01		RNA	during(PBQ:0000003)	1.7		experimental evidence	population_wide	glucose MM,nitrogen absent,standard temperature	PMID:23101633	4896	2013-09-30
