SPBP4H10.15	ACO2(C)
SPAC806.02c	CIAO1(C)+NUBP2(N)
SPAC1420.04c	COX11(C)+METTL17(N)
SPAC19B12.13	COX11(C)+METTL17(N)
SPAC22E12.10c	COX15(N)+FDX2(C)
SPAC22A12.08c	CRLS1(C)+HDHD5(N)
SPBC530.12c	DOLPP1(C)+PPT1(N)
SPBC16A3.11	ESCO1(C)+POLH(N)
SPBC405.01(N)	GART
SPCC569.08c(C)	GART
SPAC6F12.05c	NUDT19(N)+TPK1(C)
SPAC644.04(C)	RNGTT
SPBC2F12.08c(N)	RNGTT
SPAC2C4.12c	TRPT1(N)+YAE1(C)
SPAC1002.01	NONE
SPAC1002.02	NONE
SPAC1002.03c	GANAB
SPAC1002.04c	TAF11
SPAC1002.05c	KDM5A|KDM5B|KDM5C|KDM5D
SPAC1002.06c	NONE
SPAC1002.07c	SAT1|SAT2|SATL1
SPAC1002.08c	TFB1M|TFB2M
SPAC1002.09c	DLD
SPAC1002.10c	ECD
SPAC1002.11	GPAA1
SPAC1002.12c	ALDH5A1
SPAC1002.13c	NONE
SPAC1002.14	RNF14
SPAC1002.15c	MED6
SPAC1002.16c	SLC17A1|SLC17A2|SLC17A3|SLC17A4|SLC17A5|SLC17A6|SLC17A7|SLC17A8
SPAC1002.17c	UCK1|UCK2
SPAC1002.18	NONE
SPAC1002.19	NONE
SPAC1002.20	NONE
SPAC1006.01	PCSK9
SPAC1006.02	GNB1L
SPAC1006.03c	ZFC3H1
SPAC1006.04c	NONE
SPAC1006.05c	NONE
SPAC1006.06	ARHGEF3|NET1
SPAC1006.07	EIF4A2
SPAC1006.08	NONE
SPAC1006.09	MAP3K4
SPAC1039.01	NONE
SPAC1039.02	NT5E
SPAC1039.03	NONE
SPAC1039.04	SLC17A1|SLC17A2|SLC17A3|SLC17A4|SLC17A5|SLC17A6|SLC17A7|SLC17A8
SPAC1039.05c	NONE
SPAC1039.06	NONE
SPAC1039.07c	NONE
SPAC1039.08	NONE
SPAC1039.09	SLC7A1|SLC7A14|SLC7A2|SLC7A3|SLC7A4
SPAC1039.10	RIDA
SPAC1039.11c	GAA|MGAM|SI
SPAC105.01c	NONE
SPAC105.02c	OSTF1
SPAC105.03c	NONE
SPAC1071.01c	SYMPK
SPAC1071.02	MMS19
SPAC1071.03c	SIL1
SPAC1071.04c	SPCS2
SPAC1071.05	METTL18
SPAC1071.06	ACTL6A|ACTL6B
SPAC1071.07c	RPS15
SPAC1071.08	RPLP2
SPAC1071.09c	DNAJC9
SPAC1071.10c	NONE
SPAC1071.11	NONE
SPAC1071.12c	ACP1
SPAC1071.13	NONE
SPAC1093.01	NONE
SPAC1093.02	PNPO
SPAC1093.03	FIG4
SPAC1093.04c	TRNT1
SPAC1093.05	DDX10
SPAC1093.06c	DYNC1H1
SPAC1093.07	NONE
SPAC10F6.01c	NONE
SPAC10F6.02c	DHX8
SPAC10F6.03c	CTPS1|CTPS2
SPAC10F6.04	SERGEF
SPAC10F6.05c	UBE2J2
SPAC10F6.06	NONE
SPAC10F6.07c	NONE
SPAC10F6.08c	TFPT
SPAC10F6.09c	SMC3
SPAC10F6.10	RIOK1|RIOK3
SPAC10F6.11c	NONE
SPAC10F6.12c	ICMT
SPAC10F6.13c	GOT1|GOT1L1
SPAC10F6.14c	ADCK5
SPAC10F6.15	NONE
SPAC10F6.16	ARPP19|ENSA
SPAC10F6.17c	PDP1|PDP2
SPAC110.01	NONE
SPAC110.02	PDS5A|PDS5B
SPAC110.03	CDC42
SPAC110.04c	HSPA4|HSPA4L|HSPH1
SPAC110.06	NONE
SPAC1142.01	TCF25
SPAC1142.02c	SGTA|SGTB
SPAC1142.03c	SFR1
SPAC1142.04	NOC2L
SPAC1142.05	SLC31A1|SLC31A2
SPAC1142.06	GET3
SPAC1142.07c	CHMP4A|CHMP4B|CHMP4C
SPAC1142.08	NONE
SPAC1142.09	NONE
SPAC11D3.01c	NONE
